symbol,coinalyze_symbol,exchange_code
1000BONKUSDT,1000BONKUSDT_PERP.A,A
1000PEPEUSDT,1000PEPEUSDT_PERP.A,A
AAVEUSDT,AAVEUSDT_PERP.A,A
ADAUSDT,ADAUSDT_PERP.A,A
ARBUSDT,ARBUSDT_PERP.A,A
ASTERUSDT,ASTERUSDT_PERP.A,A
ATOMUSDT,ATOMUSDT_PERP.A,A
AVAXUSDT,AVAXUSDT_PERP.A,A
BCHUSDT,BCHUSDT_PERP.A,A
BZUSDT,BZUSDT_PERP.3,3
CRCLUSDT,CRCLUSDT_PERP.3,3
CRVUSDT,CRVUSDT_PERP.A,A
DASHUSDT,DASHUSDT_PERP.A,A
DOGEUSDT,DOGEUSDT_PERP.A,A
ENAUSDT,ENAUSDT_PERP.A,A
ESPORTSUSDT,ESPORTSUSDT_PERP.A,A
ETCUSDT,ETCUSDT_PERP.A,A
FARTCOINUSDT,FARTCOINUSDT_PERP.A,A
FFUSDT,FFUSDT_PERP.A,A
FILUSDT,FILUSDT_PERP.A,A
GRASSUSDT,GRASSUSDT_PERP.A,A
HBARUSDT,HBARUSDT_PERP.A,A
HUSDT,HUSDT_PERP.A,A
ICPUSDT,ICPUSDT_PERP.A,A
INJUSDT,INJUSDT_PERP.A,A
INTCUSDT,INTCUSDT_PERP.3,3
KITEUSDT,KITEUSDT_PERP.A,A
LABUSDT,LABUSDT_PERP.A,A
LDOUSDT,LDOUSDT_PERP.A,A
LINKUSDT,LINKUSDT_PERP.A,A
LTCUSDT,LTCUSDT_PERP.A,A
MONUSDT,MONUSDT_PERP.A,A
MUSDT,MUSDT_PERP.A,A
MUUSDT,MUUSDT_PERP.3,3
NVDAUSDT,NVDAUSDT_PERP.3,3
ONDOUSDT,ONDOUSDT_PERP.A,A
OPUSDT,OPUSDT_PERP.A,A
ORDIUSDT,ORDIUSDT_PERP.A,A
PAXGUSDT,PAXGUSDT_PERP.A,A
PENDLEUSDT,PENDLEUSDT_PERP.A,A
PENGUUSDT,PENGUUSDT_PERP.A,A
POLUSDT,POLUSDT_PERP.A,A
PUMPUSDT,PUMPUSDT_PERP.A,A
RAVEUSDT,RAVEUSDT_PERP.A,A
RENDERUSDT,RENDERUSDT_PERP.A,A
RIVERUSDT,RIVERUSDT_PERP.A,A
SKYAIUSDT,SKYAIUSDT_PERP.A,A
SNDKUSDT,SNDKUSDT_PERP.3,3
SPCXUSDT,SPCXUSDT_PERP.3,3
SUIUSDT,SUIUSDT_PERP.A,A
TIAUSDT,TIAUSDT_PERP.A,A
TRUMPUSDT,TRUMPUSDT_PERP.A,A
TRXUSDT,TRXUSDT_PERP.A,A
TSLAUSDT,TSLAUSDT_PERP.3,3
UBUSDT,UBUSDT_PERP.A,A
UNIUSDT,UNIUSDT_PERP.A,A
VIRTUALUSDT,VIRTUALUSDT_PERP.A,A
VVVUSDT,VVVUSDT_PERP.A,A
WIFUSDT,WIFUSDT_PERP.A,A
WLDUSDT,WLDUSDT_PERP.A,A
WLFIUSDT,WLFIUSDT_PERP.A,A
XAGUSDT,XAGUSDT_PERP.3,3
XAUUSDT,XAUUSDT_PERP.3,3
XLMUSDT,XLMUSDT_PERP.A,A
XMRUSDT,XMRUSDT_PERP.A,A
XPLUSDT,XPLUSDT_PERP.A,A
