symbol,status,category,contract_type,quote_asset,onboard_date,delivery_date,in_vision,in_exchange_info
0GUSDT,TRADING,TRADING,PERPETUAL,USDT,2025-09-17,2100-12-25,True,True
1000000BOBUSDT,TRADING,TRADING,PERPETUAL,USDT,2025-06-05,2100-12-25,True,True
1000000MOGUSDT,TRADING,TRADING,PERPETUAL,USDT,2024-11-07,2100-12-25,True,True
1000BONKUSDC,TRADING,TRADING,PERPETUAL,USDC,2024-05-02,2100-12-25,True,True
1000BONKUSDT,TRADING,TRADING,PERPETUAL,USDT,2023-11-22,2100-12-25,True,True
1000BTTCUSDT,GONE_FROM_EXCHANGEINFO,USDT_PERP_GONE,,,,,True,False
1000CATUSDT,TRADING,TRADING,PERPETUAL,USDT,2024-10-21,2100-12-25,True,True
1000CHEEMSUSDT,TRADING,TRADING,PERPETUAL,USDT,2024-11-25,2100-12-25,True,True
1000FLOKIUSDT,TRADING,TRADING,PERPETUAL,USDT,2023-05-06,2100-12-25,True,True
1000LUNCBUSD,GONE_FROM_EXCHANGEINFO,BUSD,,,,,True,False
1000LUNCUSDT,TRADING,TRADING,PERPETUAL,USDT,2022-09-08,2100-12-25,True,True
1000PEPEUSDC,TRADING,TRADING,PERPETUAL,USDC,2024-03-07,2100-12-25,True,True
1000PEPEUSDT,TRADING,TRADING,PERPETUAL,USDT,2023-05-05,2100-12-25,True,True
1000RATSUSDT,TRADING,TRADING,PERPETUAL,USDT,2023-12-15,2100-12-25,True,True
1000SATSUSDT,TRADING,TRADING,PERPETUAL,USDT,2023-12-12,2100-12-25,True,True
1000SHIBBUSD,GONE_FROM_EXCHANGEINFO,BUSD,,,,,True,False
1000SHIBUSDC,TRADING,TRADING,PERPETUAL,USDC,2024-03-28,2100-12-25,True,True
1000SHIBUSDT,TRADING,TRADING,PERPETUAL,USDT,2021-05-10,2100-12-25,True,True
1000WHYUSDT,SETTLING,SETTLING,PERPETUAL,USDT,2024-11-25,2026-03-17,True,True
1000XECUSDT,TRADING,TRADING,PERPETUAL,USDT,2021-09-16,2100-12-25,True,True
1000XUSDT,SETTLING,SETTLING,PERPETUAL,USDT,2024-11-13,2025-11-14,True,True
1INCHUSDT,TRADING,TRADING,PERPETUAL,USDT,2020-12-25,2100-12-25,True,True
1MBABYDOGEUSDT,TRADING,TRADING,PERPETUAL,USDT,2024-09-16,2100-12-25,True,True
2ZUSDT,TRADING,TRADING,PERPETUAL,USDT,2025-10-02,2100-12-25,True,True
42USDT,SETTLING,SETTLING,PERPETUAL,USDT,2025-10-27,2026-01-30,True,True
4USDT,TRADING,TRADING,PERPETUAL,USDT,2025-10-08,2100-12-25,True,True
A2ZUSDT,SETTLING,SETTLING,PERPETUAL,USDT,2025-07-30,2026-03-24,True,True
AAOIUSDT,TRADING,TRADING,TRADIFI_PERPETUAL,USDT,2026-06-08,2100-12-25,True,True
