date,symbol,project,vol_usd
2021-12-01,AAVE,0x-API,15205.923792293472
2021-12-01,AAVE,balancer,2653388.4777213866
2021-12-01,AAVE,bancor,22965.085978630617
2021-12-01,AAVE,sushiswap,318761.6220426967
2021-12-01,AAVE,uniswap,648566.5898237984
2021-12-01,ATOM,uniswap,858.6420883675352
2021-12-01,CRV,0x-API,2207046.950041304
2021-12-01,CRV,1inch-LOP,83805.29709614675
2021-12-01,CRV,balancer,1356.5615394610466
2021-12-01,CRV,curve,1341115.3520599848
2021-12-01,CRV,defiswap,9223.904555222303
2021-12-01,CRV,sushiswap,6719070.807096264
2021-12-01,CRV,uniswap,4533494.437464459
2021-12-01,DOGE,uniswap,18016.869875580094
2021-12-01,LDO,sushiswap,403281.67517680646
2021-12-01,LDO,uniswap,16161.331128412527
2021-12-01,LINK,0x-API,416356.447179005
2021-12-01,LINK,1inch-LOP,26844.05200064916
2021-12-01,LINK,balancer,204446.24449532517
2021-12-01,LINK,bancor,2331261.9693612084
2021-12-01,LINK,defiswap,30157.099401475214
2021-12-01,LINK,shibaswap,115839.79963482035
2021-12-01,LINK,sushiswap,2141255.262309687
2021-12-01,LINK,uniswap,3273301.968134207
2021-12-01,PENDLE,sushiswap,363512.99465843395
2021-12-01,PUMP,uniswap,3203.552230646424
2021-12-01,UNI,0x-API,91499.38477746701
2021-12-01,UNI,balancer,62503.35187175906
2021-12-01,UNI,bancor,37944.47471321506
2021-12-01,UNI,defiswap,3143.0440015000004
2021-12-01,UNI,shibaswap,410939.9806547247
2021-12-01,UNI,sushiswap,48777.76991700378
2021-12-01,UNI,uniswap,2982509.786452253
2021-12-02,AAVE,0x-API,10013.64
2021-12-02,AAVE,1inch-LOP,10796.584505611114
2021-12-02,AAVE,balancer,2340107.8530103723
2021-12-02,AAVE,bancor,31048.872911821658
2021-12-02,AAVE,sushiswap,232056.17863381538
2021-12-02,AAVE,uniswap,328380.5875699668
2021-12-02,CRV,0x-API,1682584.1271816096
2021-12-02,CRV,1inch-LOP,34883.88500129769
2021-12-02,CRV,curve,4520968.557023445
2021-12-02,CRV,defiswap,960.20423702725
2021-12-02,CRV,sushiswap,4278398.319102308
2021-12-02,CRV,uniswap,1379823.0707659447
2021-12-02,DOGE,uniswap,89718.48521365304
2021-12-02,LDO,sushiswap,384805.8281217133
2021-12-02,LDO,uniswap,44193.43493579171
2021-12-02,LINK,0x-API,101618.8108619771
2021-12-02,LINK,1inch-LOP,33880.66093474669
2021-12-02,LINK,airswap,75.8577326619046
2021-12-02,LINK,balancer,162720.25001488868
2021-12-02,LINK,bancor,1670421.9155816054
2021-12-02,LINK,defiswap,14335.675919827054
2021-12-02,LINK,shibaswap,53814.726946185256
2021-12-02,LINK,sushiswap,1292443.536516713
2021-12-02,LINK,uniswap,2632347.3445142694
2021-12-02,PENDLE,sushiswap,83116.84598844149
2021-12-02,PUMP,uniswap,2076.8960304621373
2021-12-02,UNI,0x-API,132797.57852090022
2021-12-02,UNI,balancer,164759.9210130145
2021-12-02,UNI,bancor,90367.23590562056
2021-12-02,UNI,defiswap,6292.776660700454
2021-12-02,UNI,shibaswap,1500701.017434639
2021-12-02,UNI,sushiswap,205393.32001491805
2021-12-02,UNI,uniswap,9941646.958579713
2021-12-03,AAVE,0x-API,58865.861658672045
2021-12-03,AAVE,balancer,1927051.3680006412
2021-12-03,AAVE,sushiswap,233934.5772212423
2021-12-03,AAVE,uniswap,779093.8646764178
2021-12-03,CRV,0x-API,1708149.417996353
2021-12-03,CRV,1inch-LOP,50098.23468807434
2021-12-03,CRV,balancer,48002.58926954151
2021-12-03,CRV,curve,3350528.157691392
2021-12-03,CRV,defiswap,2080.9473239341037
2021-12-03,CRV,sushiswap,3870773.0048184446
2021-12-03,CRV,uniswap,1665041.1885273603
2021-12-03,DOGE,uniswap,25759.13287867834
2021-12-03,LDO,balancer,56857.76961689992
2021-12-03,LDO,sushiswap,1871887.9767403142
2021-12-03,LDO,uniswap,156325.11693773122
2021-12-03,LINK,0x-API,254388.08310399414
2021-12-03,LINK,1inch-LOP,58705.11321191312
2021-12-03,LINK,airswap,10950.254412025619
2021-12-03,LINK,balancer,188170.16100393588
2021-12-03,LINK,bancor,2450149.4193294127
2021-12-03,LINK,curve,51765.04710017312
2021-12-03,LINK,defiswap,17513.193605927536
2021-12-03,LINK,shibaswap,76032.56054804038
2021-12-03,LINK,sushiswap,1838007.1568840216
2021-12-03,LINK,uniswap,5695225.84872885
2021-12-03,PENDLE,sushiswap,475424.65856416675
2021-12-03,PUMP,uniswap,850.4340000000001
2021-12-03,TRX,uniswap,15201.152999999998
2021-12-03,UNI,0x-API,601836.7358315679
2021-12-03,UNI,1inch-LOP,33172.78372662442
2021-12-03,UNI,balancer,23658.47217607996
2021-12-03,UNI,bancor,15000.34285059109
2021-12-03,UNI,defiswap,1519.6929085000002
2021-12-03,UNI,shibaswap,241274.3546828746
2021-12-03,UNI,sushiswap,21207.726846735943
2021-12-03,UNI,uniswap,3446817.3695424777
2021-12-04,AAVE,0x-API,148058.291837509
2021-12-04,AAVE,1inch-LOP,20098.9
2021-12-04,AAVE,balancer,2438687.399620739
2021-12-04,AAVE,bancor,77735.14953241502
2021-12-04,AAVE,sushiswap,2336843.46552507
2021-12-04,AAVE,uniswap,1321382.4769695199
2021-12-04,ATOM,sushiswap,1050.5779486947222
2021-12-04,ATOM,uniswap,1957.0146398720276
2021-12-04,CRV,0x-API,1177754.3884944548
2021-12-04,CRV,1inch-LOP,8011.46717112041
2021-12-04,CRV,curve,8296792.635135159
2021-12-04,CRV,defiswap,16223.971958557111
2021-12-04,CRV,sushiswap,13413952.12259376
2021-12-04,CRV,uniswap,3835772.5635293177
2021-12-04,DOGE,uniswap,332927.73987269454
2021-12-04,LDO,balancer,30104.10362051891
2021-12-04,LDO,sushiswap,2390882.5834672903
2021-12-04,LDO,uniswap,1704384.2826065067
2021-12-04,LINK,0x-API,2520866.0563178426
2021-12-04,LINK,1inch-LOP,26164.97
2021-12-04,LINK,airswap,31026.541638779316
2021-12-04,LINK,balancer,877992.1685677482
2021-12-04,LINK,bancor,8976959.53439349
2021-12-04,LINK,defiswap,41663.11175834956
2021-12-04,LINK,shibaswap,387720.21785564575
2021-12-04,LINK,sushiswap,13161331.493763512
2021-12-04,LINK,uniswap,14760889.300366607
2021-12-04,PENDLE,sushiswap,144154.34464601456
2021-12-04,UNI,0x-API,1614854.270887649
2021-12-04,UNI,1inch-LOP,25047.21893833974
2021-12-04,UNI,airswap,39.5107
2021-12-04,UNI,bancor,60423.1724688458
2021-12-04,UNI,defiswap,1900.4985667564501
2021-12-04,UNI,shibaswap,950364.3500149722
2021-12-04,UNI,sushiswap,147708.71358723822
2021-12-04,UNI,uniswap,10899956.746579569
2021-12-05,AAVE,0x-API,20549.69784406374
2021-12-05,AAVE,balancer,1187803.3729469243
2021-12-05,AAVE,sushiswap,66201.59539745789
2021-12-05,AAVE,uniswap,128115.84471019023
2021-12-05,ATOM,uniswap,1351.6329104652307
2021-12-05,CRV,0x-API,1735879.9256810523
2021-12-05,CRV,1inch-LOP,51271.549488116056
2021-12-05,CRV,curve,5072741.219112378
2021-12-05,CRV,defiswap,273974.86885708576
2021-12-05,CRV,sushiswap,6116985.565599548
2021-12-05,CRV,uniswap,3767351.582574823
2021-12-05,DOGE,uniswap,46085.882
2021-12-05,LDO,1inch-LOP,13819.409999999998
2021-12-05,LDO,balancer,134412.43483066885
2021-12-05,LDO,sushiswap,4348840.918379695
2021-12-05,LDO,uniswap,505619.0709122586
2021-12-05,LINK,0x-API,350809.3563492379
2021-12-05,LINK,1inch-LOP,51197.17760658902
2021-12-05,LINK,airswap,6987.007758589272
2021-12-05,LINK,balancer,211591.0731090978
2021-12-05,LINK,bancor,1426747.4514079602
2021-12-05,LINK,defiswap,1055.1218479999998
2021-12-05,LINK,shibaswap,38799.19360859821
2021-12-05,LINK,sushiswap,2065663.6787828114
2021-12-05,LINK,uniswap,2466323.2967806393
2021-12-05,PENDLE,sushiswap,70523.46088940551
2021-12-05,PUMP,uniswap,1641.876030915149
2021-12-05,UNI,0x-API,128240.52489286911
2021-12-05,UNI,1inch-LOP,39042.19801299228
2021-12-05,UNI,shibaswap,229882.34352849316
2021-12-05,UNI,sushiswap,32124.029699551076
2021-12-05,UNI,uniswap,1644679.699385283
2021-12-06,AAVE,0x-API,469801.48317871615
2021-12-06,AAVE,1inch-LOP,47336.36505083874
2021-12-06,AAVE,balancer,3343586.2574799606
2021-12-06,AAVE,bancor,7308.900812055102
2021-12-06,AAVE,sushiswap,1007433.6194713273
2021-12-06,AAVE,uniswap,1392283.8574095233
2021-12-06,ATOM,uniswap,1054.5955598785279
2021-12-06,CRV,0x-API,2890624.5269306055
2021-12-06,CRV,1inch-LOP,11701.531561927648
2021-12-06,CRV,curve,4062117.746393174
2021-12-06,CRV,defiswap,8130.826628578154
2021-12-06,CRV,sushiswap,5003530.898196081
2021-12-06,CRV,uniswap,3068402.656483201
2021-12-06,DOGE,uniswap,105121.7002796545
2021-12-06,LDO,balancer,77363.67681228132
2021-12-06,LDO,sushiswap,2736952.479077455
