date,n_swaps,med_usdc_per_usdt,q25_px_micro,q75_px_micro,premium_bps
2021-11-15,235,1.0,1000000,1000000,0.0
2021-11-17,116,1.0,1000000,1000000,0.0
2021-12-30,226,1.0,1000000,1000000,0.0
2021-12-31,302,1.0,1000000,1000000,0.0
2022-01-01,241,1.0,1000000,1000000,0.0
2022-01-02,197,1.0,1000000,1000000,0.0
2022-01-03,275,1.0,1000000,1000000,0.0
2022-01-04,269,1.0,1000000,1000000,0.0
2022-01-05,312,1.0,1000000,1000000,0.0
2022-01-06,392,1.0,1000000,1000000,0.0
2022-01-07,605,1.0,1000000,1000000,0.0
2022-01-08,538,1.0,1000000,1000000,0.0
2022-01-09,203,1.0,1000000,1000000,0.0
2022-01-10,243,1.0,1000000,1000000,0.0
2022-01-11,322,1.0,1000000,1000000,0.0
2022-01-12,220,1.0,1000000,1000000,0.0
2022-01-18,105,1.0,1000000,1000000,0.0
2022-01-19,202,1.0,1000000,1000000,0.0
2022-01-20,203,1.0,1000000,1000000,0.0
2022-01-21,450,1.0,1000000,1000000,0.0
2022-01-22,749,1.0,1000000,1000000,0.0
2022-01-23,567,1.0,1000000,1000000,0.0
2022-01-24,506,1.0,1000000,1000000,0.0
2022-01-25,191,1.0,1000000,1000000,0.0
2022-01-28,321,1.0,1000000,1000000,0.0
2022-01-29,129,1.0,1000000,1000000,0.0
2022-04-12,178,1.0,1000000,1000000,0.0
2022-04-13,217,1.0,1000000,1000000,0.0
2022-04-14,202,1.0,1000000,1000000,0.0
2022-04-16,136,1.0,1000000,1000000,0.0
2022-04-27,241,1.0,1000000,1000000,0.0
2022-04-28,237,1.0,1000000,1000000,0.0
2022-04-29,512,1.0,1000000,1000000,0.0
2022-04-30,435,1.0,1000000,1000000,0.0
2022-05-01,261,1.0,1000000,1000000,0.0
2022-05-02,237,1.0,1000000,1000000,0.0
2022-05-03,411,1.0,1000000,1000000,0.0
2022-05-04,586,1.0,1000000,1000000,0.0
2022-05-05,337,1.0,1000000,1000000,0.0
2022-05-06,530,1.0,1000000,1000000,0.0
2022-05-07,448,1.0,1000000,1000000,0.0
2022-05-08,724,1.0,1000000,1000000,0.0
2022-05-09,1284,1.0,1000000,1000000,0.0
2022-05-10,1265,1.0,1000000,1000000,0.0
2022-05-11,1191,1.0,1000000,1000000,0.0
2022-05-12,175,1.0,1000000,1000000,0.0
2022-05-13,827,1.0,1000000,1000000,0.0
2022-05-14,878,1.0,1000000,1000000,0.0
2022-05-15,660,1.0,1000000,1000000,0.0
2022-05-16,893,1.0,1000000,1000000,0.0
2022-05-17,824,1.0,1000000,1000000,0.0
2022-05-18,840,1.0,1000000,1000000,0.0
2022-05-19,860,1.0,1000000,1000000,0.0
2022-05-20,598,1.0,1000000,1000000,0.0
2022-05-21,406,1.0,1000000,1000000,0.0
2022-05-22,449,1.0,1000000,1000000,0.0
2022-05-23,649,1.0,1000000,1000000,0.0
2022-05-24,567,1.0,1000000,1000000,0.0
2022-05-25,490,1.0,1000000,1000000,0.0
2022-05-26,740,1.0,1000000,1000000,0.0
2022-05-27,873,1.0,1000000,1000000,0.0
2022-05-28,646,1.0,1000000,1000000,0.0
2022-05-29,412,1.0,1000000,1000000,0.0
2022-05-30,673,1.0,1000000,1000000,0.0
2022-05-31,622,1.0,1000000,1000000,0.0
2022-06-01,586,1.0,1000000,1000000,0.0
2022-06-02,471,1.0,1000000,1000000,0.0
2022-06-03,492,1.0,1000000,1000000,0.0
2022-06-04,338,1.0,1000000,1000000,0.0
2022-06-05,331,1.0,1000000,1000000,0.0
2022-06-06,464,1.0,1000000,1000000,0.0
2022-06-07,610,1.0,1000000,1000000,0.0
2022-06-08,358,1.0,1000000,1000000,0.0
2022-06-09,342,1.0,1000000,1000000,0.0
2022-06-10,603,1.0,1000000,1000000,0.0
2022-06-11,770,1.0,1000000,1000000,0.0
2022-06-12,891,1.0,1000000,1000000,0.0
2022-06-13,2089,1.0,1000000,1000000,0.0
2022-06-14,1622,1.0,1000000,1000000,0.0
2022-06-15,1806,1.0,1000000,1000000,0.0
2022-06-16,1331,1.0,1000000,1000000,0.0
2022-06-17,974,1.0,1000000,1000000,0.0
2022-06-18,1509,1.0,1000000,1000000,0.0
2022-06-19,1211,1.0,1000000,1000000,0.0
2022-06-20,982,1.0,1000000,1000000,0.0
2022-06-21,780,1.0,1000000,1000000,0.0
2022-06-22,703,1.0,1000000,1000000,0.0
2022-06-23,581,1.0,1000000,1000000,0.0
2022-06-24,739,1.0,1000000,1000000,0.0
2022-06-25,475,1.0,1000000,1000000,0.0
2022-06-26,486,1.0,1000000,1000000,0.0
2022-06-27,646,1.0,1000000,1000000,0.0
2022-06-28,734,1.0,1000000,1000000,0.0
2022-06-29,634,1.0,1000000,1000000,0.0
2022-06-30,793,1.0,1000000,1000000,0.0
2022-07-01,832,1.0,1000000,1000000,0.0
2022-07-02,614,1.0,1000000,1000000,0.0
2022-07-03,832,1.0,1000000,1000000,0.0
2022-07-04,1048,1.0,1000000,1000000,0.0
2022-07-05,1061,1.0,1000000,1000000,0.0
2022-07-06,690,1.0,1000000,1000000,0.0
2022-07-07,677,1.0,1000000,1000000,0.0
2022-07-08,607,1.0,1000000,1000000,0.0
2022-07-09,410,1.0,1000000,1000000,0.0
2022-07-10,533,1.0,1000000,1000000,0.0
2022-07-11,609,1.0,1000000,1000000,0.0
2022-07-12,756,1.0,1000000,1000000,0.0
2022-07-13,695,1.0,1000000,1000000,0.0
2022-07-14,734,1.0,1000000,1000000,0.0
2022-07-15,500,1.0,1000000,1000000,0.0
2022-07-16,689,1.0,1000000,1000000,0.0
2022-07-17,703,1.0,1000000,1000000,0.0
2022-07-18,1131,1.0,1000000,1000000,0.0
2022-07-19,870,1.0,1000000,1000000,0.0
2022-07-20,480,1.0,1000000,1000000,0.0
2022-07-21,429,1.0,1000000,1000000,0.0
2022-07-22,401,1.0,1000000,1000000,0.0
2022-07-23,313,1.0,1000000,1000000,0.0
2022-07-24,335,1.0,1000000,1000000,0.0
2022-07-25,416,1.0,1000000,1000000,0.0
2022-07-26,372,1.0,1000000,1000000,0.0
2022-07-27,348,1.0,1000000,1000000,0.0
2022-08-07,174,1.0,1000000,1000000,0.0
2022-08-19,911,1.0,1000000,1000000,0.0
2022-08-20,525,1.0,1000000,1000000,0.0
2022-08-21,658,1.0,1000000,1000000,0.0
2022-08-22,969,1.0,1000000,1000000,0.0
2022-08-23,979,1.0,1000000,1000000,0.0
2022-08-24,623,1.0,1000000,1000000,0.0
2022-08-25,670,1.0,1000000,1000000,0.0
2022-08-26,500,1.0,1000000,1000000,0.0
2022-08-27,581,1.0,1000000,1000000,0.0
2022-08-28,640,1.0,1000000,1000000,0.0
2022-08-29,1096,1.0,1000000,1000000,0.0
2022-08-30,402,1.0,1000000,1000000,0.0
2022-08-31,443,1.0,1000000,1000000,0.0
2022-09-01,609,1.0,1000000,1000000,0.0
2022-09-02,405,1.0,1000000,1000000,0.0
2022-09-03,315,1.0,1000000,1000000,0.0
2022-09-04,310,1.0,1000000,1000000,0.0
2022-09-05,353,1.0,1000000,1000000,0.0
2022-09-06,535,1.0,1000000,1000000,0.0
2022-09-07,397,1.0,1000000,1000000,0.0
2022-09-08,275,1.0,1000000,1000000,0.0
2022-09-09,199,1.0,1000000,1000000,0.0
2022-09-14,691,1.0,1000000,1000000,0.0
2022-09-15,841,1.0,1000000,1000000,0.0
2022-09-16,753,1.0,1000000,1000000,0.0
2022-09-17,570,1.0,1000000,1000000,0.0
2022-09-18,492,1.0,1000000,1000000,0.0
2022-09-19,805,1.0,1000000,1000000,0.0
2022-09-20,526,1.0,1000000,1000000,0.0
2022-09-21,657,1.0,1000000,1000000,0.0
2022-09-22,652,1.0,1000000,1000000,0.0
2022-09-23,690,1.0,1000000,1000000,0.0
2022-09-24,500,1.0,1000000,1000000,0.0
2022-09-25,465,1.0,1000000,1000000,0.0
2022-09-26,510,1.0,1000000,1000000,0.0
2022-09-27,525,1.0,1000000,1000000,0.0
2022-09-28,671,1.0,1000000,1000000,0.0
2022-09-29,448,1.0,1000000,1000000,0.0
2022-09-30,437,1.0,1000000,1000000,0.0
2022-10-01,446,1.0,1000000,1000000,0.0
2022-10-02,545,1.0,1000000,1000000,0.0
2022-10-03,545,1.0,1000000,1000000,0.0
2022-10-04,667,1.0,1000000,1000000,0.0
2022-10-10,162,1.0,1000000,1000000,0.0
2022-10-11,594,1.0,1000000,1000000,0.0
2022-10-12,931,1.0,1000000,1000000,0.0
2022-10-13,928,1.0,1000000,1000000,0.0
2022-10-14,409,1.0,1000000,1000000,0.0
2022-10-15,328,1.0,1000000,1000000,0.0
2022-10-16,131,1.0,1000000,1000000,0.0
2022-10-17,462,1.0,1000000,1000000,0.0
2022-10-18,313,1.0,1000000,1000000,0.0
2022-10-19,382,1.0,1000000,1000000,0.0
