d,contract_address,whale_tx,whale_vol,date
2022-05-22 00:00:00.000 UTC,0x7b6e3c717bf630751f1aeba0645c6ba939decd11,1,4200000000000000000000000000,2022-05-22
2022-05-23 00:00:00.000 UTC,0x7b6e3c717bf630751f1aeba0645c6ba939decd11,0,,2022-05-23
2022-05-24 00:00:00.000 UTC,0x7b6e3c717bf630751f1aeba0645c6ba939decd11,0,,2022-05-24
2022-10-22 00:00:00.000 UTC,0xe88ddc8a0217f7b0f588b82f3924acc143aa23b2,2,2000000000000000,2022-10-22
2022-10-23 00:00:00.000 UTC,0xe88ddc8a0217f7b0f588b82f3924acc143aa23b2,0,,2022-10-23
2022-10-24 00:00:00.000 UTC,0xe88ddc8a0217f7b0f588b82f3924acc143aa23b2,0,,2022-10-24
2022-10-26 00:00:00.000 UTC,0xe88ddc8a0217f7b0f588b82f3924acc143aa23b2,0,,2022-10-26
2022-11-20 00:00:00.000 UTC,0xe88ddc8a0217f7b0f588b82f3924acc143aa23b2,0,,2022-11-20
2023-02-22 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,1,10000000000000000000000000,2023-02-22
2023-02-23 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,0,,2023-02-23
2023-02-24 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,0,,2023-02-24
2023-02-25 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,0,,2023-02-25
2023-02-26 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,0,,2023-02-26
2023-02-27 00:00:00.000 UTC,0xe8eb18f2dee5228f6e91b96805e0954c5e4f5066,0,,2023-02-27
2024-08-13 00:00:00.000 UTC,0x4f52242c11712f9a5e2c0cdbd33946b53885652f,1,0,2024-08-13
2025-04-22 00:00:00.000 UTC,0x6dc6d183c44761cd2f3bb74cf3639827da747ad6,1,58079703720000000000,2025-04-22
2026-01-22 00:00:00.000 UTC,0x63e252e7133008da5f855426bee9a2ce19b83747,1,1000000000000000000000,2026-01-22
2026-01-31 00:00:00.000 UTC,0x3adca5b2391cda97fdb44786bc127e2c2c36ed1e,0,,2026-01-31
2026-02-01 00:00:00.000 UTC,0x3adca5b2391cda97fdb44786bc127e2c2c36ed1e,0,,2026-02-01
2026-02-10 00:00:00.000 UTC,0x3adca5b2391cda97fdb44786bc127e2c2c36ed1e,0,,2026-02-10
2026-02-14 00:00:00.000 UTC,0x3adca5b2391cda97fdb44786bc127e2c2c36ed1e,1,500000000000000000000000,2026-02-14
2026-02-16 00:00:00.000 UTC,0x3adca5b2391cda97fdb44786bc127e2c2c36ed1e,0,,2026-02-16
2026-03-08 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,1,2358258568000000000000000000,2026-03-08
2026-03-10 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-10
2026-03-11 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-11
2026-03-12 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-12
2026-03-13 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-13
2026-03-14 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-14
2026-03-15 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-15
2026-03-16 00:00:00.000 UTC,0xffb67ae9d957aa2664f44c017afa67fc9fd6337f,0,,2026-03-16
