schema_version,run_id,baseline_id,parent_record_id,baseline_type,scan_time_utc,symbol,random_seed,direction,direction_sign,holding_period_hours,entry_price_ref,exit_price_ref,btc_entry_price,btc_exit_price,dir_excess_ret,friction_bps_roundtrip,funding_cost_component,dir_excess_ret_net,notes
v1,20260707_0804_utc,20260707_0804_utc_0003_4h_candidate_pool_random,20260707_0804_utc_0003,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,1000BONKUSDT,2335453225,Long,1,4,,,,,,91.0,-0.00110994,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_4h_full_pool_random,20260707_0804_utc_0003,full_pool_random,2026-07-07T08:04:33.074472+00:00,WLDUSDT,1580522885,Long,1,4,,,,,,91.0,-0.00110994,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_24h_candidate_pool_random,20260707_0804_utc_0003,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,1000BONKUSDT,1313802558,Long,1,24,,,,,,91.0,-0.00665964,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_24h_full_pool_random,20260707_0804_utc_0003,full_pool_random,2026-07-07T08:04:33.074472+00:00,UBUSDT,2836203538,Short,-1,24,,,,,,31.0,0.00665964,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_72h_candidate_pool_random,20260707_0804_utc_0003,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,HUSDT,1339019443,Short,-1,72,,,,,,51.0,0.01997892,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_72h_full_pool_random,20260707_0804_utc_0003,full_pool_random,2026-07-07T08:04:33.074472+00:00,ADAUSDT,1212073603,Long,1,72,,,,,,91.0,-0.01997892,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_168h_candidate_pool_random,20260707_0804_utc_0003,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,1000BONKUSDT,807694505,Long,1,168,,,,,,91.0,-0.04661748,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0003_168h_full_pool_random,20260707_0804_utc_0003,full_pool_random,2026-07-07T08:04:33.074472+00:00,ESPORTSUSDT,318682539,Long,1,168,,,,,,51.0,-0.04661748,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_4h_candidate_pool_random,20260707_0804_utc_0002,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,HUSDT,4252766960,Long,1,4,,,,,,51.0,0.00019057,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_4h_full_pool_random,20260707_0804_utc_0002,full_pool_random,2026-07-07T08:04:33.074472+00:00,UBUSDT,3592792337,Long,1,4,,,,,,31.0,0.00019057,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_24h_candidate_pool_random,20260707_0804_utc_0002,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,UBUSDT,1656179122,Short,-1,24,,,,,,31.0,-0.00114342,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_24h_full_pool_random,20260707_0804_utc_0002,full_pool_random,2026-07-07T08:04:33.074472+00:00,AVAXUSDT,3750255418,Long,1,24,,,,,,91.0,0.00114342,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_72h_candidate_pool_random,20260707_0804_utc_0002,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,ESPORTSUSDT,2915454093,Long,1,72,,,,,,51.0,0.00343026,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_72h_full_pool_random,20260707_0804_utc_0002,full_pool_random,2026-07-07T08:04:33.074472+00:00,LABUSDT,1510197328,Short,-1,72,,,,,,31.0,-0.00343026,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_168h_candidate_pool_random,20260707_0804_utc_0002,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,HUSDT,1959157566,Long,1,168,,,,,,51.0,0.00800394,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0002_168h_full_pool_random,20260707_0804_utc_0002,full_pool_random,2026-07-07T08:04:33.074472+00:00,AVAXUSDT,2843035660,Short,-1,168,,,,,,91.0,-0.00800394,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_4h_candidate_pool_random,20260707_0804_utc_0007,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,SKYAIUSDT,447005543,Short,-1,4,,,,,,91.0,-2.5e-05,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_4h_full_pool_random,20260707_0804_utc_0007,full_pool_random,2026-07-07T08:04:33.074472+00:00,1000PEPEUSDT,1700870085,Short,-1,4,,,,,,91.0,-2.5e-05,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_24h_candidate_pool_random,20260707_0804_utc_0007,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,LABUSDT,2318467734,Short,-1,24,,,,,,31.0,-0.00015,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_24h_full_pool_random,20260707_0804_utc_0007,full_pool_random,2026-07-07T08:04:33.074472+00:00,FFUSDT,204010024,Short,-1,24,,,,,,131.0,-0.00015,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_72h_candidate_pool_random,20260707_0804_utc_0007,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,HUSDT,385505639,Short,-1,72,,,,,,51.0,-0.00045,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_72h_full_pool_random,20260707_0804_utc_0007,full_pool_random,2026-07-07T08:04:33.074472+00:00,BCHUSDT,678983587,Short,-1,72,,,,,,91.0,-0.00045,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_168h_candidate_pool_random,20260707_0804_utc_0007,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,ESPORTSUSDT,1936921367,Long,1,168,,,,,,51.0,0.00105,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0007_168h_full_pool_random,20260707_0804_utc_0007,full_pool_random,2026-07-07T08:04:33.074472+00:00,ONDOUSDT,2539959057,Short,-1,168,,,,,,91.0,-0.00105,,"three-way aligned: scan_time, holding_period, random direction"
v1,20260707_0804_utc,20260707_0804_utc_0006_4h_candidate_pool_random,20260707_0804_utc_0006,candidate_pool_random,2026-07-07T08:04:33.074472+00:00,ESPORTSUSDT,1545331163,Long,1,4,,,,,,51.0,4.053e-05,,"three-way aligned: scan_time, holding_period, random direction"
