date,asset,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowInExUSD,FlowInExUSD-status,FlowInExUSD-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,FlowOutExUSD,FlowOutExUSD-status,FlowOutExUSD-status-time,SplyExNtv,SplyExNtv-status,SplyExNtv-status-time,SplyExUSD,SplyExUSD-status,SplyExUSD-status-time,fetched_at
2011-04-24,btc,140.0,flash,2026-04-02T16:55:16.310338000Z,228.4777907656342,flash,2026-04-02T16:55:17.455053000Z,0.0,flash,2026-04-02T16:55:14.418177000Z,0.0,flash,2026-04-02T16:55:17.407948000Z,140.0,flash,2026-04-02T16:55:14.065476000Z,228.4777907656342,flash,2026-04-02T16:55:17.340873000Z,2026-08-07 05:31:50 UTC
2011-04-25,btc,0.0,flash,2026-04-02T16:55:25.073932000Z,0.0,flash,2026-04-02T16:55:26.116645000Z,0.0,flash,2026-04-02T16:55:20.174612000Z,0.0,flash,2026-04-02T16:55:26.080605000Z,140.0,flash,2026-04-02T16:55:19.961169000Z,219.0277089421386,flash,2026-04-02T16:55:26.040652000Z,2026-08-07 05:31:50 UTC
2011-04-26,btc,0.0,flash,2026-04-02T16:55:31.867735000Z,0.0,flash,2026-04-02T16:55:32.810936000Z,0.0,flash,2026-04-02T16:55:29.361432000Z,0.0,flash,2026-04-02T16:55:32.766157000Z,140.0,flash,2026-04-02T16:55:29.059977000Z,247.9177246171836,flash,2026-04-02T16:55:32.721049000Z,2026-08-07 05:31:50 UTC
2011-04-27,btc,0.0,flash,2026-04-02T16:55:41.350331000Z,0.0,flash,2026-04-02T16:55:42.462157000Z,0.0,flash,2026-04-02T16:55:36.320185000Z,0.0,flash,2026-04-02T16:55:42.421046000Z,140.0,flash,2026-04-02T16:55:35.903399000Z,266.444634190532,flash,2026-04-02T16:55:42.383680000Z,2026-08-07 05:31:50 UTC
2011-04-28,btc,0.0,flash,2026-04-02T16:55:48.168372000Z,0.0,flash,2026-04-02T16:55:49.146918000Z,0.0,flash,2026-04-02T16:55:45.721267000Z,0.0,flash,2026-04-02T16:55:49.111153000Z,140.0,flash,2026-04-02T16:55:45.425730000Z,320.0042252133258,flash,2026-04-02T16:55:49.078637000Z,2026-08-07 05:31:50 UTC
2011-04-29,btc,0.0,flash,2026-04-02T16:55:57.476808000Z,0.0,flash,2026-04-02T16:55:58.481696000Z,0.0,flash,2026-04-02T16:55:52.079282000Z,0.0,flash,2026-04-02T16:55:58.429029000Z,140.0,flash,2026-04-02T16:55:51.738832000Z,399.084712600819,flash,2026-04-02T16:55:58.394295000Z,2026-08-07 05:31:50 UTC
2011-04-30,btc,0.0,flash,2026-04-02T16:56:06.358894000Z,0.0,flash,2026-04-02T16:56:07.392552000Z,0.0,flash,2026-04-02T16:56:01.816891000Z,0.0,flash,2026-04-02T16:56:07.332179000Z,140.0,flash,2026-04-02T16:56:01.458759000Z,490.0,flash,2026-04-02T16:56:07.276995000Z,2026-08-07 05:31:50 UTC
2011-05-01,btc,0.0,flash,2026-04-02T16:56:15.068765000Z,0.0,flash,2026-04-02T16:56:16.021779000Z,0.0,flash,2026-04-02T16:56:10.704052000Z,0.0,flash,2026-04-02T16:56:15.970797000Z,140.0,flash,2026-04-02T16:56:10.235444000Z,433.19185748685,flash,2026-04-02T16:56:15.937381000Z,2026-08-07 05:31:50 UTC
2011-05-02,btc,0.0,flash,2026-04-02T16:56:21.904459000Z,0.0,flash,2026-04-02T16:56:22.901775000Z,0.0,flash,2026-04-02T16:56:19.761501000Z,0.0,flash,2026-04-02T16:56:22.859177000Z,140.0,flash,2026-04-02T16:56:19.451304000Z,448.0,flash,2026-04-02T16:56:22.816596000Z,2026-08-07 05:31:50 UTC
2011-05-03,btc,0.0,flash,2026-04-02T16:56:31.200865000Z,0.0,flash,2026-04-02T16:56:32.357817000Z,0.0,flash,2026-04-02T16:56:26.168112000Z,0.0,flash,2026-04-02T16:56:32.306666000Z,140.0,flash,2026-04-02T16:56:25.809212000Z,470.4819985154884,flash,2026-04-02T16:56:32.277063000Z,2026-08-07 05:31:50 UTC
