symbol,cg_n,cg_min,cg_max,bn_raw_n,bn_raw_min,bn_raw_max,bn_hist_n,bn_hist_min,bn_hist_max,fund_n,fund_min,fund_max,cg_to_raw_gap_days,hist_covers_cg_end
0GUSDT,6851,2025-09-17,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000000BOBUSDT,9186,2025-06-05,2026-06-23,0,-,-,0,-,-,0,-,-,,False
1000000MOGUSDT,14222,2024-11-07,2026-06-23,0,-,-,0,-,-,0,-,-,,False
1000BONKUSDT,22812,2023-11-22,2026-07-07,23852,2023-11-22,2026-08-12,23852,2023-11-22,2026-08-12,5962,2023-11-22,2026-08-12,-957.54,True
1000CHEEMSUSDT,13959,2024-11-25,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000FLOKIUSDT,27610,2023-05-06,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000LUNCUSDT,33349,2022-09-09,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000PEPEUSDT,27634,2023-05-05,2026-07-07,28674,2023-05-05,2026-08-12,28674,2023-05-05,2026-08-12,3585,2023-05-05,2026-08-12,-1158.46,True
1000RATSUSDT,22092,2023-12-15,2026-06-23,0,-,-,0,-,-,0,-,-,,False
1000SATSUSDT,22332,2023-12-12,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000SHIBUSDT,39394,2021-12-31,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1000XECUSDT,39394,2021-12-31,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1INCHUSDT,39394,2021-12-31,2026-07-07,0,-,-,0,-,-,0,-,-,,False
1MBABYDOGEUSDT,15639,2024-09-16,2026-07-07,0,-,-,0,-,-,0,-,-,,False
2ZUSDT,6494,2025-10-02,2026-07-07,0,-,-,0,-,-,0,-,-,,False
4USDT,6183,2025-10-08,2026-06-23,0,-,-,0,-,-,0,-,-,,False
AAPLUSDT,1861,2026-04-06,2026-06-23,0,-,-,0,-,-,0,-,-,,False
AAVEUSDT,39394,2021-12-31,2026-07-07,51027,2020-10-16,2026-08-12,51027,2020-10-16,2026-08-12,5054,2022-01-01,2026-08-12,-2089.83,True
ACEUSDT,22192,2023-12-18,2026-07-07,0,-,-,0,-,-,0,-,-,,False
ACHUSDT,29364,2023-02-22,2026-07-07,0,-,-,0,-,-,0,-,-,,False
ACUUSDT,3662,2026-01-21,2026-06-23,0,-,-,0,-,-,0,-,-,,False
ACXUSDT,13691,2024-12-06,2026-07-07,0,-,-,0,-,-,0,-,-,,False
