symbol,alert_id,pnl_net,turnover_24h_in,turnover_24h_out,slip_bps_in,slip_bps_out,spread_bps_in,spread_bps_out,config_round_bps,legacy_round_bps,cost_gap_bps,participation_1h,participation_24h,illiquid,range_bps_hl,impact_eta05,impact_eta1,impact_eta2,status
AAOIUSDT,nl_washout_AAOIUSDT_1782486000000,-53.274919236675046,54960668.2196,28877909.7193,10.0,20.0,10.0,20.0,71.0,54.0,17.0,0.00041113370024927523,1.8194829728132405e-05,False,200.94562647754128,2.04,4.07,8.15,OK
AAOIUSDT,nl_washout_AAOIUSDT_1782972000000,-137.5333040646234,49983003.65360001,20844146.0996,10.0,20.0,10.0,20.0,71.0,54.0,17.0,0.001004519767583281,2.0006800850352164e-05,True,121.29231447789212,1.92,3.84,7.69,OK
ALABUSDT,nl_washout_ALABUSDT_1783429200000,-25.745733982903253,3637906.1386,3536367.6955,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0056029975019130885,0.00027488339772967224,True,365.302681203259,13.67,27.34,54.69,OK
ALABUSDT,nl_washout_ALABUSDT_1785204000000,186.6855607995701,1719954.0035,2330730.2204,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0434417792188864,0.0005814108970153049,True,123.60848753828395,12.88,25.76,51.53,OK
AMATUSDT,nl_washout_AMATUSDT_1782241200000,227.2011317536975,3586844.019,20473322.7168,40.0,20.0,20.0,20.0,111.0,54.0,57.0,0.005174582017018633,0.0002787966230766836,True,252.61287537820772,9.09,18.17,36.34,OK
AMATUSDT,nl_washout_AMATUSDT_1784199600000,-35.10504128172431,7489369.941,6166635.2205,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.003856224331500664,0.00013352258038764705,True,185.32043892609133,5.75,11.51,23.02,OK
AMATUSDT,nl_washout_AMATUSDT_1784458800000,47.883076110366574,688868.0702,846276.6517,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.010322422721417132,0.0014516567732768754,True,69.7173646449921,3.54,7.08,14.17,OK
AMATUSDT,nl_washout_AMATUSDT_1785164400000,-12.001830250130684,5119089.4012,3207761.3005,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.020099689232674866,0.0001953472427665716,True,71.21018615271392,5.05,10.1,20.19,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1784408400000,-27.01468593288636,1514518.6896999998,8319956.6839000005,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.045288302799476515,0.0006602757739477503,True,41.84629388487775,4.45,8.91,17.81,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1784667600000,-97.27096145134928,8075655.4163,3157928.5028999997,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0031243361049392866,0.0001238289585736395,True,67.4722677543545,1.89,3.77,7.54,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1785168000000,-16.592316262155183,4535038.8284,2076396.3232000002,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.006897472160878096,0.00022050527852984412,True,87.58684211427509,3.64,7.27,14.55,OK
ARMUSDT,nl_washout_ARMUSDT_1783011600000,54.332383388938645,37709274.943399996,24613713.8591,10.0,20.0,10.0,20.0,71.0,54.0,17.0,0.0062436695902299885,2.65186748220685e-05,True,64.77400192742188,2.56,5.12,10.24,OK
ARMUSDT,nl_washout_ARMUSDT_1783947600000,-91.86160857588364,16149062.3402,9720737.2678,20.0,40.0,20.0,20.0,111.0,54.0,57.0,0.001814148976222415,6.192309986386587e-05,True,113.35054830812554,2.41,4.83,9.66,OK
ARMUSDT,nl_washout_ARMUSDT_1784919600000,-80.54985855533236,22343302.3187,30602565.4025,20.0,10.0,20.0,10.0,71.0,54.0,17.0,0.004250153255851237,4.4756141493151624e-05,True,128.85854409077663,4.2,8.4,16.8,OK
ARMUSDT,nl_washout_ARMUSDT_1785243600000,73.43043773634572,19076142.0801,22141009.1214,20.0,20.0,20.0,20.0,91.0,54.0,37.0,0.0029347902599490593,5.242150094086308e-05,True,83.41511285574175,2.26,4.52,9.04,OK
ARXUSDT,nl_washout_ARXUSDT_1783479600000,-86.02861841569542,51434894.7263,61259548.4726,10.0,10.0,10.0,10.0,51.0,54.0,-3.0,0.00037448079331958256,1.944205398535936e-05,False,206.97167755991276,2.0,4.01,8.01,OK
ARXUSDT,nl_washout_ARXUSDT_1784811600000,-30.734376596392664,6293716.7033,5103849.115999999,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0038282132281722953,0.0001588886260920622,True,407.4295985620132,12.6,25.21,50.42,OK
ARXUSDT,nl_washout_ARXUSDT_1785106800000,-81.77702286151845,3940999.9897,2884023.2826,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0047895075514738285,0.00025374270556040345,True,210.77988557663372,7.29,14.59,29.17,OK
ASMLUSDT,nl_washout_ASMLUSDT_1783011600000,25.08916532785865,2573038.1991,1583438.9589,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.04398628718699688,0.00038864560982801617,True,30.311875519231712,3.18,6.36,12.71,OK
ASMLUSDT,nl_washout_ASMLUSDT_1783429200000,8.079480195906763,2267775.6906000003,2080840.8579,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.023867531970672446,0.0004409607194155183,True,128.40256805136116,9.92,19.84,39.67,OK
ASTSUSDT,nl_washout_ASTSUSDT_1781798400000,-182.2229680461556,7383015.7481,3747700.3310999996,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.008482419281389304,0.00013544600663453106,True,36.16636528028834,1.67,3.33,6.66,OK
ASTSUSDT,nl_washout_ASTSUSDT_1782439200000,307.96909844036094,3850680.936,9371877.1572,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.019097633932064845,0.0002596943285149918,True,78.50380974370893,5.42,10.85,21.7,OK
ASTSUSDT,nl_washout_ASTSUSDT_1784145600000,57.9760898759416,5931020.9643,3483130.6342,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.0020840004926602172,0.0001686050354600329,True,220.78804347826159,5.04,10.08,20.16,OK
AXTIUSDT,nl_washout_AXTIUSDT_1782475200000,-118.8895368920776,10800610.6239,10159689.3938,20.0,20.0,20.0,20.0,91.0,54.0,37.0,0.0031758168800689163,9.258735777282463e-05,True,264.3935563100481,7.45,14.9,29.8,OK
AXTIUSDT,nl_washout_AXTIUSDT_1782925200000,-84.75354009569425,6126561.6362,6295072.8686999995,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.01073394158544336,0.00016322369044511074,True,52.356020942408904,2.71,5.42,10.85,OK
AXTIUSDT,nl_washout_AXTIUSDT_1783695600000,-177.38696507902296,4959797.8259000005,5465334.014,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.007692804428524726,0.00020162112148564058,True,86.95652173913044,3.81,7.63,15.25,OK
AXTIUSDT,nl_washout_AXTIUSDT_1783954800000,-26.58387588119093,4355406.507,4775873.255,40.0,40.0,20.0,20.0,131.0,54.0,77.0,0.006709518518563647,0.00022959969371235547,True,156.85495880075433,6.42,12.85,25.7,OK
AXTIUSDT,nl_washout_AXTIUSDT_1784898000000,133.03786550832464,6490596.8531,119200015.66380002,40.0,5.0,20.0,5.0,81.0,54.0,27.0,0.002067553834402815,0.0001540690359658351,True,547.7178423236516,12.45,24.9,49.81,OK
AXTIUSDT,nl_washout_AXTIUSDT_1785585600000,494.04780570358287,22741012.8569,54413454.480000004,20.0,10.0,20.0,10.0,71.0,54.0,17.0,0.00178173693313033,4.397341518131122e-05,True,234.28477148985343,4.94,9.89,19.78,OK
