symbol,alert_id,pnl_net,spread_bps_in,spread_bps_out,cost_real_bps,status
AAOIUSDT,nl_washout_AAOIUSDT_1782486000000,-53.274919236675046,7.09,-4.11,12.49,OK
AAOIUSDT,nl_washout_AAOIUSDT_1782972000000,-137.5333040646234,-3.68,-2.3,8.01,OK
ALABUSDT,nl_washout_ALABUSDT_1783429200000,-25.745733982903253,192.08,14.36,114.22,OK
ALABUSDT,nl_washout_ALABUSDT_1785204000000,186.6855607995701,-9.03,23.26,18.11,OK
AMATUSDT,nl_washout_AMATUSDT_1782241200000,227.2011317536975,-25.31,50.14,23.42,OK
AMATUSDT,nl_washout_AMATUSDT_1784199600000,-35.10504128172431,-10.13,-0.22,5.82,OK
AMATUSDT,nl_washout_AMATUSDT_1784458800000,47.883076110366574,4.74,-0.72,13.01,OK
AMATUSDT,nl_washout_AMATUSDT_1785164400000,-12.001830250130684,26.85,3.17,26.01,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1784408400000,-27.01468593288636,21.2,5.44,24.32,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1784667600000,-97.27096145134928,49.82,0.34,36.08,OK
ANTHROPICUSDT,nl_washout_ANTHROPICUSDT_1785168000000,-16.592316262155183,4.83,8.45,17.64,OK
ARMUSDT,nl_washout_ARMUSDT_1783011600000,54.332383388938645,27.26,-17.26,16.0,OK
ARMUSDT,nl_washout_ARMUSDT_1783947600000,-91.86160857588364,-16.01,9.53,7.76,OK
ARMUSDT,nl_washout_ARMUSDT_1784919600000,-80.54985855533236,-3.5,7.02,12.76,OK
ARMUSDT,nl_washout_ARMUSDT_1785243600000,73.43043773634572,-2.37,-9.38,5.13,OK
ARXUSDT,nl_washout_ARXUSDT_1783479600000,-86.02861841569542,2.35,1.27,12.81,OK
ARXUSDT,nl_washout_ARXUSDT_1784811600000,-30.734376596392664,20.88,3.13,23.0,OK
ARXUSDT,nl_washout_ARXUSDT_1785106800000,-81.77702286151845,-20.48,26.61,14.06,OK
ASMLUSDT,nl_washout_ASMLUSDT_1783011600000,25.08916532785865,-8.71,-10.35,1.47,OK
ASMLUSDT,nl_washout_ASMLUSDT_1783429200000,8.079480195906763,13.69,-12.21,11.74,OK
ASTSUSDT,nl_washout_ASTSUSDT_1781798400000,-182.2229680461556,16.05,14.87,26.46,OK
ASTSUSDT,nl_washout_ASTSUSDT_1782439200000,307.96909844036094,23.79,-0.23,22.78,OK
ASTSUSDT,nl_washout_ASTSUSDT_1784145600000,57.9760898759416,13.59,-2.27,16.66,OK
AXTIUSDT,nl_washout_AXTIUSDT_1782475200000,-118.8895368920776,0.23,-16.51,2.86,OK
AXTIUSDT,nl_washout_AXTIUSDT_1782925200000,-84.75354009569425,-3.64,-4.12,7.12,OK
AXTIUSDT,nl_washout_AXTIUSDT_1783695600000,-177.38696507902296,-5.84,-16.42,-0.13,OK
AXTIUSDT,nl_washout_AXTIUSDT_1783954800000,-26.58387588119093,13.96,53.89,44.92,OK
