date,bitcoin,crypto,fetched_at
2026-05-07,65,62,2026-08-07 04:39:17 UTC
2026-05-08,66,63,2026-08-07 04:39:17 UTC
2026-05-09,55,57,2026-08-07 04:39:17 UTC
2026-05-10,54,46,2026-08-07 04:39:17 UTC
2026-05-11,58,44,2026-08-07 04:39:17 UTC
2026-05-12,56,41,2026-08-07 04:39:17 UTC
2026-05-13,54,46,2026-08-07 04:39:17 UTC
2026-05-14,58,48,2026-08-07 04:39:17 UTC
2026-05-15,53,54,2026-08-07 04:39:17 UTC
2026-05-16,51,45,2026-08-07 04:39:17 UTC
2026-05-17,50,43,2026-08-07 04:39:17 UTC
2026-05-18,55,49,2026-08-07 04:39:17 UTC
2026-05-19,55,46,2026-08-07 04:39:17 UTC
2026-05-20,48,41,2026-08-07 04:39:17 UTC
2026-05-21,47,38,2026-08-07 04:39:17 UTC
2026-05-22,52,44,2026-08-07 04:39:17 UTC
2026-05-23,56,52,2026-08-07 04:39:17 UTC
2026-05-24,48,34,2026-08-07 04:39:17 UTC
2026-05-25,47,43,2026-08-07 04:39:17 UTC
2026-05-26,49,44,2026-08-07 04:39:17 UTC
2026-05-27,50,48,2026-08-07 04:39:17 UTC
2026-05-28,59,45,2026-08-07 04:39:17 UTC
2026-05-29,56,48,2026-08-07 04:39:17 UTC
2026-05-30,46,44,2026-08-07 04:39:17 UTC
2026-05-31,54,41,2026-08-07 04:39:17 UTC
2026-06-01,58,37,2026-08-07 04:39:17 UTC
2026-06-02,79,44,2026-08-07 04:39:17 UTC
2026-06-03,72,34,2026-08-07 04:39:17 UTC
2026-06-04,89,41,2026-08-07 04:39:17 UTC
2026-06-05,100,49,2026-08-07 04:39:17 UTC
2026-06-06,84,46,2026-08-07 04:39:17 UTC
2026-06-07,73,45,2026-08-07 04:39:17 UTC
2026-06-08,72,41,2026-08-07 04:39:17 UTC
2026-06-09,68,41,2026-08-07 04:39:17 UTC
2026-06-10,65,34,2026-08-07 04:39:17 UTC
2026-06-11,66,36,2026-08-07 04:39:17 UTC
2026-06-12,59,43,2026-08-07 04:39:17 UTC
2026-06-13,56,40,2026-08-07 04:39:17 UTC
2026-06-14,59,42,2026-08-07 04:39:17 UTC
2026-06-15,65,39,2026-08-07 04:39:17 UTC
2026-06-16,60,38,2026-08-07 04:39:17 UTC
2026-06-17,56,37,2026-08-07 04:39:17 UTC
2026-06-18,62,36,2026-08-07 04:39:17 UTC
2026-06-19,56,34,2026-08-07 04:39:17 UTC
2026-06-20,53,35,2026-08-07 04:39:17 UTC
2026-06-21,53,37,2026-08-07 04:39:17 UTC
2026-06-22,59,39,2026-08-07 04:39:17 UTC
2026-06-23,62,46,2026-08-07 04:39:17 UTC
2026-06-24,70,44,2026-08-07 04:39:17 UTC
2026-06-25,68,37,2026-08-07 04:39:17 UTC
2026-06-26,63,35,2026-08-07 04:39:17 UTC
2026-06-27,55,36,2026-08-07 04:39:17 UTC
2026-06-28,59,35,2026-08-07 04:39:17 UTC
2026-06-29,59,34,2026-08-07 04:39:17 UTC
2026-06-30,64,39,2026-08-07 04:39:17 UTC
2026-07-01,62,38,2026-08-07 04:39:17 UTC
2026-07-02,60,40,2026-08-07 04:39:17 UTC
2026-07-03,52,37,2026-08-07 04:39:17 UTC
2026-07-04,52,39,2026-08-07 04:39:17 UTC
2026-07-05,54,37,2026-08-07 04:39:17 UTC
2026-07-06,55,35,2026-08-07 04:39:17 UTC
2026-07-07,51,32,2026-08-07 04:39:17 UTC
2026-07-08,57,41,2026-08-07 04:39:17 UTC
2026-07-09,52,39,2026-08-07 04:39:17 UTC
2026-07-10,48,33,2026-08-07 04:39:17 UTC
2026-07-11,44,36,2026-08-07 04:39:17 UTC
2026-07-12,48,37,2026-08-07 04:39:17 UTC
2026-07-13,55,34,2026-08-07 04:39:17 UTC
2026-07-14,50,38,2026-08-07 04:39:17 UTC
2026-07-15,46,26,2026-08-07 04:39:17 UTC
2026-07-16,40,25,2026-08-07 04:39:17 UTC
2026-07-17,40,25,2026-08-07 04:39:17 UTC
2026-07-18,38,26,2026-08-07 04:39:17 UTC
2026-07-19,79,69,2026-08-07 04:39:17 UTC
2026-07-20,51,33,2026-08-07 04:39:17 UTC
2026-07-21,51,28,2026-08-07 04:39:17 UTC
2026-07-22,44,27,2026-08-07 04:39:17 UTC
2026-07-23,43,25,2026-08-07 04:39:17 UTC
2026-07-24,38,21,2026-08-07 04:39:17 UTC
2026-07-25,34,21,2026-08-07 04:39:17 UTC
2026-07-26,37,21,2026-08-07 04:39:17 UTC
2026-07-27,40,24,2026-08-07 04:39:17 UTC
2026-07-28,40,23,2026-08-07 04:39:17 UTC
2026-07-29,37,23,2026-08-07 04:39:17 UTC
2026-07-30,35,20,2026-08-07 04:39:17 UTC
2026-07-31,34,21,2026-08-07 04:39:17 UTC
2026-08-01,38,24,2026-08-07 04:39:17 UTC
2026-08-02,36,22,2026-08-07 04:39:17 UTC
2026-08-03,40,22,2026-08-07 04:39:17 UTC
2026-08-04,38,20,2026-08-07 04:39:17 UTC
2026-08-05,37,20,2026-08-07 04:39:17 UTC
2026-08-06,36,21,2026-08-07 04:39:17 UTC
