n,n_capped,pct_capped,n_structure_mode,pct_structure_mode,median_abs,max,min,note,symbol
5927,0,0.0,3018,50.91952083684832,5e-05,0.00417077,-0.0066559,capped rows must not enter OLS / extreme quantile training as true pressure,1000BONKUSDT
3567,0,0.0,1663,46.62181104569667,0.0001,0.00237744,-0.00230358,capped rows must not enter OLS / extreme quantile training as true pressure,1000PEPEUSDT
5036,0,0.0,2419,48.03415409054806,0.0001,0.0011126,-0.00095315,capped rows must not enter OLS / extreme quantile training as true pressure,AAVEUSDT
5036,0,0.0,2214,43.96346306592534,0.0001,0.00112087,-0.00137741,capped rows must not enter OLS / extreme quantile training as true pressure,ADAUSDT
3697,0,0.0,1504,40.68163375710035,0.0001,0.00128625,-0.00033612,capped rows must not enter OLS / extreme quantile training as true pressure,ARBUSDT
1926,0,0.0,1098,57.009345794392516,5e-05,0.0038658,-0.00075871,capped rows must not enter OLS / extreme quantile training as true pressure,ASTERUSDT
5036,0,0.0,1468,29.15011914217633,0.0001,0.00105136,-0.0045,capped rows must not enter OLS / extreme quantile training as true pressure,ATOMUSDT
5036,0,0.0,1891,37.54964257347101,0.0001,0.00143701,-0.00351003,capped rows must not enter OLS / extreme quantile training as true pressure,AVAXUSDT
5036,0,0.0,1350,26.806989674344717,0.0001,0.00123699,-0.00163882,capped rows must not enter OLS / extreme quantile training as true pressure,BCHUSDT
5036,0,0.0,1537,30.520254169976173,6.5275e-05,0.00088148,-0.00119172,capped rows must not enter OLS / extreme quantile training as true pressure,BTCUSDT
769,9,1.1703511053315996,11,1.4304291287386215,3.259e-05,0.005,-0.005,capped rows must not enter OLS / extreme quantile training as true pressure,BZUSDT
543,2,0.3683241252302026,1,0.1841620626151013,0.00012985,0.00773789,-0.01726893,capped rows must not enter OLS / extreme quantile training as true pressure,CRCLUSDT
5036,0,0.0,2788,55.36139793486894,0.0001,0.00088863,-0.00682717,capped rows must not enter OLS / extreme quantile training as true pressure,CRVUSDT
5036,4,0.07942811755361398,3244,64.41620333598094,0.0001,0.00114379,-0.0145086,capped rows must not enter OLS / extreme quantile training as true pressure,DASHUSDT
5036,0,0.0,2034,40.38919777601271,0.0001,0.00102757,-0.00136242,capped rows must not enter OLS / extreme quantile training as true pressure,DOGEUSDT
5135,2,0.03894839337877313,2092,40.740019474196686,5e-05,0.00040225,-0.00601292,capped rows must not enter OLS / extreme quantile training as true pressure,ENAUSDT
2619,7,0.26727758686521574,1361,51.9663993890798,5e-05,0.00935155,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,ESPORTSUSDT
5036,0,0.0,2146,42.613185067513896,0.0001,0.00117899,-0.00278547,capped rows must not enter OLS / extreme quantile training as true pressure,ETCUSDT
5036,1,0.019857029388403495,1466,29.11040508339952,6.827499999999999e-05,0.00101724,-0.00301937,capped rows must not enter OLS / extreme quantile training as true pressure,ETHUSDT
3562,0,0.0,2729,76.614261650758,5e-05,0.00159307,-0.00083415,capped rows must not enter OLS / extreme quantile training as true pressure,FARTCOINUSDT
1866,1,0.05359056806002144,1355,72.61521972132905,5e-05,0.00016859,-0.0159264,capped rows must not enter OLS / extreme quantile training as true pressure,FFUSDT
5036,0,0.0,2628,52.18427323272439,0.0001,0.00132604,-0.00582186,capped rows must not enter OLS / extreme quantile training as true pressure,FILUSDT
3815,0,0.0,2534,66.42201834862385,5e-05,0.00078133,-0.00315123,capped rows must not enter OLS / extreme quantile training as true pressure,GRASSUSDT
5036,0,0.0,2467,48.98729150119142,0.0001,0.00104956,-0.00467311,capped rows must not enter OLS / extreme quantile training as true pressure,HBARUSDT
2858,19,0.6648005598320503,1246,43.596920923722884,5e-05,0.00314567,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,HUSDT
5036,1,0.019857029388403495,2658,52.77998411437649,0.0001,0.00130299,-0.00740802,capped rows must not enter OLS / extreme quantile training as true pressure,ICPUSDT
4353,2,0.04594532506317482,1547,35.53870893636572,0.0001,0.00130169,-0.01183133,capped rows must not enter OLS / extreme quantile training as true pressure,INJUSDT
556,1,0.1798561151079137,10,1.7985611510791366,0.0,0.00516495,-0.00992988,capped rows must not enter OLS / extreme quantile training as true pressure,INTCUSDT
1686,11,0.6524317912218268,1128,66.90391459074732,5e-05,0.00060266,-0.01899541,capped rows must not enter OLS / extreme quantile training as true pressure,KITEUSDT
2146,35,1.6309412861136998,976,45.479962721342034,8.100499999999999e-05,0.00371375,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,LABUSDT
4243,0,0.0,2043,48.14989394296488,0.0001,0.00137891,-0.00553862,capped rows must not enter OLS / extreme quantile training as true pressure,LDOUSDT
5036,0,0.0,2444,48.530579825258144,0.0001,0.00115808,-0.0009275,capped rows must not enter OLS / extreme quantile training as true pressure,LINKUSDT
5036,0,0.0,1982,39.356632247815725,9.033500000000001e-05,0.00109604,-0.00078346,capped rows must not enter OLS / extreme quantile training as true pressure,LTCUSDT
1801,0,0.0,1075,59.68906163242643,5e-05,0.00177553,-0.00565996,capped rows must not enter OLS / extreme quantile training as true pressure,MONUSDT
3300,16,0.48484848484848486,1235,37.42424242424243,5e-05,0.00101472,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,MUSDT
369,1,0.27100271002710025,1,0.27100271002710025,8.978e-05,0.00711778,-0.00740523,capped rows must not enter OLS / extreme quantile training as true pressure,MUUSDT
412,0,0.0,4,0.9708737864077669,1.757e-05,0.0065092,-0.0088515,capped rows must not enter OLS / extreme quantile training as true pressure,NVDAUSDT
5573,0,0.0,2234,40.086129553202944,5e-05,0.00228396,-0.00482215,capped rows must not enter OLS / extreme quantile training as true pressure,ONDOUSDT
4582,0,0.0,1947,42.4923614142296,0.0001,0.00202586,-0.00354675,capped rows must not enter OLS / extreme quantile training as true pressure,OPUSDT
6017,0,0.0,3032,50.39056007977397,5e-05,0.00132451,-0.00095272,capped rows must not enter OLS / extreme quantile training as true pressure,ORDIUSDT
2983,0,0.0,1415,47.43546765001676,5e-05,0.00021025,-0.00062491,capped rows must not enter OLS / extreme quantile training as true pressure,PAXGUSDT
3324,0,0.0,1609,48.40553549939832,0.0001,0.00151776,-0.00323475,capped rows must not enter OLS / extreme quantile training as true pressure,PENDLEUSDT
3581,0,0.0,1520,42.44624406590338,5e-05,0.00078905,-0.00481974,capped rows must not enter OLS / extreme quantile training as true pressure,PENGUUSDT
4151,0,0.0,1725,41.55625150566129,5e-05,0.00044099,-0.00099255,capped rows must not enter OLS / extreme quantile training as true pressure,POLUSDT
2760,0,0.0,1577,57.137681159420296,5e-05,0.00931056,-0.00581101,capped rows must not enter OLS / extreme quantile training as true pressure,PUMPUSDT
1619,10,0.6176652254478072,649,40.08647313156269,0.00010271,0.00384686,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,RAVEUSDT
4446,0,0.0,2283,51.34952766531714,5e-05,0.00049347,-0.00138511,capped rows must not enter OLS / extreme quantile training as true pressure,RENDERUSDT
2790,35,1.2544802867383513,606,21.72043010752688,0.00010741,0.002545,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,RIVERUSDT
2700,1,0.037037037037037035,1662,61.55555555555555,5e-05,0.00296408,-0.00136442,capped rows must not enter OLS / extreme quantile training as true pressure,SKYAIUSDT
364,0,0.0,3,0.8241758241758242,0.0,0.00474489,-0.00711015,capped rows must not enter OLS / extreme quantile training as true pressure,SNDKUSDT
5111,10,0.19565642731363725,1601,31.324594012913327,9.63e-05,0.00119261,-0.02,capped rows must not enter OLS / extreme quantile training as true pressure,SOLUSDT
