open_time,open,high,low,close,volume,quote_volume,datetime_utc
1735689600000,0.7218,0.7318,0.7207,0.7313,3847871.5,2795865.45578,2025-01-01 00:00:00+00:00
1735693200000,0.7314,0.7315,0.7209,0.7228,2788150.7,2023440.19799,2025-01-01 01:00:00+00:00
1735696800000,0.7228,0.7276,0.7227,0.7263,1727000.9,1252342.94704,2025-01-01 02:00:00+00:00
1735700400000,0.7263,0.7266,0.722,0.7242,1549214.5,1121642.07729,2025-01-01 03:00:00+00:00
1735704000000,0.7242,0.7247,0.7188,0.7196,3698300.9,2664600.38551,2025-01-01 04:00:00+00:00
1735707600000,0.7196,0.7236,0.7192,0.7209,2962801.4,2137888.8191,2025-01-01 05:00:00+00:00
1735711200000,0.721,0.7217,0.7162,0.7202,1940925.4,1394835.16644,2025-01-01 06:00:00+00:00
1735714800000,0.7203,0.7211,0.7177,0.7201,1538485.9,1106806.75011,2025-01-01 07:00:00+00:00
1735718400000,0.7201,0.721,0.7115,0.7118,4464811.0,3195202.43558,2025-01-01 08:00:00+00:00
1735722000000,0.7119,0.7141,0.7042,0.7089,8652555.8,6126269.32672,2025-01-01 09:00:00+00:00
1735725600000,0.709,0.7124,0.7084,0.7098,3875395.0,2752330.92284,2025-01-01 10:00:00+00:00
1735729200000,0.7098,0.7177,0.707,0.715,3065641.9,2184951.40946,2025-01-01 11:00:00+00:00
1735732800000,0.715,0.7202,0.7139,0.7191,3637874.7,2610094.01011,2025-01-01 12:00:00+00:00
1735736400000,0.7191,0.7235,0.7176,0.7224,4601775.4,3315173.91742,2025-01-01 13:00:00+00:00
1735740000000,0.7224,0.7278,0.7174,0.724,5577945.4,4032547.74222,2025-01-01 14:00:00+00:00
1735743600000,0.7241,0.7306,0.7212,0.7298,3704468.4,2687615.47674,2025-01-01 15:00:00+00:00
1735747200000,0.7298,0.7323,0.7244,0.7262,5543318.1,4035902.10501,2025-01-01 16:00:00+00:00
1735750800000,0.7262,0.7293,0.7191,0.729,4499752.0,3258962.31145,2025-01-01 17:00:00+00:00
1735754400000,0.7291,0.7392,0.7261,0.7386,5867205.0,4302901.82207,2025-01-01 18:00:00+00:00
1735758000000,0.7387,0.744,0.7344,0.7425,6746591.8,4988391.76384,2025-01-01 19:00:00+00:00
1735761600000,0.7426,0.7473,0.7425,0.7466,4260427.3,3173961.36223,2025-01-01 20:00:00+00:00
1735765200000,0.7466,0.7493,0.7433,0.7491,4648530.6,3469545.18956,2025-01-01 21:00:00+00:00
1735768800000,0.7491,0.7505,0.7452,0.7495,2552557.6,1908928.07045,2025-01-01 22:00:00+00:00
1735772400000,0.7495,0.7502,0.744,0.7459,4032407.9,3010629.60604,2025-01-01 23:00:00+00:00
1735776000000,0.7459,0.7636,0.7459,0.7604,10977669.6,8314659.39194,2025-01-02 00:00:00+00:00
1735779600000,0.7605,0.7649,0.7549,0.756,4380348.8,3328436.62015,2025-01-02 01:00:00+00:00
1735783200000,0.7561,0.7608,0.7534,0.7607,3179007.4,2407205.56888,2025-01-02 02:00:00+00:00
1735786800000,0.7607,0.7624,0.7571,0.7571,1652575.9,1254122.75423,2025-01-02 03:00:00+00:00
1735790400000,0.7572,0.7679,0.7567,0.7656,5538710.1,4225408.0877,2025-01-02 04:00:00+00:00
1735794000000,0.7657,0.7675,0.7601,0.7637,4978605.9,3805067.53716,2025-01-02 05:00:00+00:00
1735797600000,0.7637,0.7655,0.7571,0.762,3642414.2,2770849.97192,2025-01-02 06:00:00+00:00
1735801200000,0.7621,0.7683,0.7597,0.7678,3846150.9,2942440.69831,2025-01-02 07:00:00+00:00
1735804800000,0.7679,0.7743,0.7652,0.7738,5898303.6,4539055.95067,2025-01-02 08:00:00+00:00
1735808400000,0.7738,0.78,0.7707,0.7789,5906750.4,4576805.32535,2025-01-02 09:00:00+00:00
1735812000000,0.779,0.783,0.7751,0.7805,6386378.6,4976553.2679,2025-01-02 10:00:00+00:00
1735815600000,0.7806,0.7814,0.7751,0.7784,5656216.1,4400492.74569,2025-01-02 11:00:00+00:00
1735819200000,0.7784,0.7851,0.7751,0.7843,9692743.6,7563766.43596,2025-01-02 12:00:00+00:00
1735822800000,0.7844,0.7847,0.7777,0.7789,5857255.6,4574741.22686,2025-01-02 13:00:00+00:00
1735826400000,0.7789,0.788,0.7712,0.7822,13526620.6,10534216.948,2025-01-02 14:00:00+00:00
1735830000000,0.7821,0.784,0.7717,0.7739,6184340.7,4802793.31166,2025-01-02 15:00:00+00:00
1735833600000,0.7739,0.7818,0.7706,0.7775,5253727.7,4081798.13876,2025-01-02 16:00:00+00:00
1735837200000,0.7775,0.7813,0.768,0.7723,6687368.9,5176476.11352,2025-01-02 17:00:00+00:00
1735840800000,0.7722,0.7766,0.7694,0.776,5058830.5,3911083.59944,2025-01-02 18:00:00+00:00
1735844400000,0.776,0.7792,0.7733,0.7741,4043620.7,3138499.58922,2025-01-02 19:00:00+00:00
1735848000000,0.7742,0.7792,0.7713,0.7733,2901568.4,2248529.62728,2025-01-02 20:00:00+00:00
1735851600000,0.7734,0.7748,0.7703,0.7732,3089705.6,2386751.02202,2025-01-02 21:00:00+00:00
1735855200000,0.7732,0.7741,0.7607,0.7731,5837867.3,4481689.82505,2025-01-02 22:00:00+00:00
1735858800000,0.7731,0.7782,0.7703,0.776,2702390.2,2094318.98909,2025-01-02 23:00:00+00:00
1735862400000,0.7761,0.78,0.7713,0.7715,3186213.4,2471074.49294,2025-01-03 00:00:00+00:00
1735866000000,0.7715,0.7742,0.7667,0.774,4341181.7,3343121.74321,2025-01-03 01:00:00+00:00
1735869600000,0.7741,0.7811,0.7717,0.7744,4594418.1,3572251.81296,2025-01-03 02:00:00+00:00
1735873200000,0.7744,0.7775,0.7728,0.7759,5748305.8,4457296.54026,2025-01-03 03:00:00+00:00
1735876800000,0.7759,0.7759,0.7693,0.7705,3331443.3,2572606.46116,2025-01-03 04:00:00+00:00
1735880400000,0.7706,0.7714,0.765,0.7698,3731635.8,2867698.1768,2025-01-03 05:00:00+00:00
1735884000000,0.7698,0.7745,0.7676,0.7681,2906506.7,2241236.72642,2025-01-03 06:00:00+00:00
1735887600000,0.7682,0.7693,0.7616,0.7635,4941653.4,3776877.96777,2025-01-03 07:00:00+00:00
1735891200000,0.7635,0.7682,0.7614,0.766,3878473.3,2967701.55988,2025-01-03 08:00:00+00:00
1735894800000,0.766,0.78,0.7659,0.7773,5854536.0,4535900.29206,2025-01-03 09:00:00+00:00
1735898400000,0.7773,0.781,0.7741,0.7798,4434159.3,3448077.10974,2025-01-03 10:00:00+00:00
1735902000000,0.7799,0.7938,0.7799,0.7934,9097428.8,7167766.19161,2025-01-03 11:00:00+00:00
1735905600000,0.7934,0.799,0.7905,0.7951,8290728.2,6595320.29992,2025-01-03 12:00:00+00:00
1735909200000,0.7951,0.8051,0.795,0.7995,8565725.9,6862517.15931,2025-01-03 13:00:00+00:00
1735912800000,0.7995,0.8171,0.7994,0.8118,10929193.6,8860487.83806,2025-01-03 14:00:00+00:00
1735916400000,0.8118,0.8278,0.8104,0.8266,11014148.7,9033498.99815,2025-01-03 15:00:00+00:00
1735920000000,0.8267,0.835,0.8264,0.8305,12539597.7,10417819.54926,2025-01-03 16:00:00+00:00
1735923600000,0.8306,0.8319,0.8208,0.8209,6556753.0,5415509.58462,2025-01-03 17:00:00+00:00
1735927200000,0.8208,0.832,0.8205,0.8284,6485997.9,5365429.29123,2025-01-03 18:00:00+00:00
1735930800000,0.8283,0.836,0.8271,0.832,5581728.5,4644424.2466,2025-01-03 19:00:00+00:00
1735934400000,0.8318,0.8345,0.8242,0.8319,6294898.5,5225159.31678,2025-01-03 20:00:00+00:00
1735938000000,0.8321,0.8383,0.8298,0.8333,4653883.0,3882408.70422,2025-01-03 21:00:00+00:00
1735941600000,0.8332,0.8375,0.8305,0.8347,3638138.0,3035502.10337,2025-01-03 22:00:00+00:00
1735945200000,0.8348,0.8361,0.831,0.8346,3648296.1,3041599.98363,2025-01-03 23:00:00+00:00
1735948800000,0.8346,0.8423,0.8306,0.8306,6673234.6,5578213.35857,2025-01-04 00:00:00+00:00
1735952400000,0.8306,0.8324,0.825,0.8318,6390103.6,5293908.07807,2025-01-04 01:00:00+00:00
1735956000000,0.8319,0.8387,0.83,0.8362,7422767.5,6193270.95439,2025-01-04 02:00:00+00:00
1735959600000,0.8363,0.8368,0.8314,0.8344,3280836.3,2736727.0553,2025-01-04 03:00:00+00:00
1735963200000,0.8344,0.835,0.8266,0.8311,2742178.2,2276118.07889,2025-01-04 04:00:00+00:00
1735966800000,0.8311,0.8323,0.8281,0.8311,1813377.4,1505637.91732,2025-01-04 05:00:00+00:00
1735970400000,0.8311,0.8374,0.8308,0.8365,2817641.3,2351650.82779,2025-01-04 06:00:00+00:00
1735974000000,0.8366,0.844,0.8346,0.8413,4880092.2,4097911.31765,2025-01-04 07:00:00+00:00
1735977600000,0.8414,0.8432,0.828,0.8298,6321997.4,5275574.47897,2025-01-04 08:00:00+00:00
1735981200000,0.8298,0.8379,0.8295,0.8328,4427656.8,3691279.73271,2025-01-04 09:00:00+00:00
1735984800000,0.8328,0.8339,0.8244,0.832,4590912.5,3805311.62186,2025-01-04 10:00:00+00:00
1735988400000,0.832,0.8388,0.8297,0.8381,7772268.6,6488159.93401,2025-01-04 11:00:00+00:00
1735992000000,0.8382,0.8661,0.8372,0.8644,20249491.6,17295558.32293,2025-01-04 12:00:00+00:00
1735995600000,0.8644,0.8747,0.861,0.8711,13956621.8,12093037.49899,2025-01-04 13:00:00+00:00
1735999200000,0.8711,0.8797,0.869,0.8784,14343131.1,12537944.86334,2025-01-04 14:00:00+00:00
1736002800000,0.8783,0.8934,0.8613,0.8659,32982288.1,28811249.00608,2025-01-04 15:00:00+00:00
1736006400000,0.8659,0.8848,0.865,0.8788,14283491.0,12484675.14076,2025-01-04 16:00:00+00:00
1736010000000,0.8786,0.8896,0.8752,0.8895,10295265.3,9076791.95376,2025-01-04 17:00:00+00:00
