alert_id,symbol,timestamp_ms,age_days,mayer,entry,exit,reason,pnl_net,hold_h
nl_washout_AAOIUSDT_1782486000000,AAOIUSDT,1782486000000,18.23,0.7903459541669998,135.65,128.77,TIME,-53.274919236675046,163.0
nl_washout_AAOIUSDT_1782972000000,AAOIUSDT,1782972000000,23.86,0.8196816512175363,136.09,117.69,TIME,-137.5333040646234,163.0
nl_washout_ALABUSDT_1783429200000,ALABUSDT,1783429200000,14.97,0.8502308459158191,395.41,386.27,TIME,-25.745733982903253,163.0
nl_washout_ALABUSDT_1785204000000,ALABUSDT,1785204000000,35.51,0.8891785366647524,273.58,325.53,TIME,186.6855607995701,163.0
nl_washout_AMATUSDT_1782241200000,AMATUSDT,1782241200000,15.41,0.8200630415770629,589.03,724.81,TIME,227.2011317536975,163.0
nl_washout_AMATUSDT_1784199600000,AMATUSDT,1784199600000,38.08,0.8691941245850361,571.08,552.52,TIME,-35.10504128172431,163.0
nl_washout_AMATUSDT_1784458800000,AMATUSDT,1784458800000,41.08,0.8855834133748903,519.4,545.74,TIME,47.883076110366574,163.0
nl_washout_AMATUSDT_1785164400000,AMATUSDT,1785164400000,49.24,0.88499105745958,517.45,512.62,TIME,-12.001830250130684,163.0
nl_washout_ANTHROPICUSDT_1784408400000,ANTHROPICUSDT,1784408400000,46.69,0.885727478487282,1583.59,1544.97,TIME,-27.01468593288636,163.0
nl_washout_ANTHROPICUSDT_1784667600000,ANTHROPICUSDT,1784667600000,49.69,0.9135411403772242,1578.66,1428.95,TIME,-97.27096145134928,163.0
nl_washout_ANTHROPICUSDT_1785168000000,ANTHROPICUSDT,1785168000000,55.48,0.88499105745958,1463.0,1442.61,TIME,-16.592316262155183,163.0
nl_washout_ARMUSDT_1783011600000,ARMUSDT,1783011600000,37.14,0.8196816512175363,315.5,333.54,TIME,54.332383388938645,163.0
nl_washout_ARMUSDT_1783947600000,ARMUSDT,1783947600000,47.97,0.8448391887580401,298.29,271.62,TIME,-91.86160857588364,163.0
nl_washout_ARMUSDT_1784919600000,ARMUSDT,1784919600000,59.22,0.8854043041021347,260.16,239.85,TIME,-80.54985855533236,163.0
nl_washout_ARMUSDT_1785243600000,ARMUSDT,1785243600000,62.97,0.8891785366647524,244.6,263.27,TIME,73.43043773634572,163.0
nl_washout_ARXUSDT_1783479600000,ARXUSDT,1783479600000,14.93,0.8371960196648067,0.1831,0.1678,TIME,-86.02861841569542,163.0
nl_washout_ARXUSDT_1784811600000,ARXUSDT,1784811600000,30.34,0.8967266863064844,0.1636,0.159,TIME,-30.734376596392664,163.0
nl_washout_ARXUSDT_1785106800000,ARXUSDT,1785106800000,33.76,0.9062464181228268,0.1652,0.1521,TIME,-81.77702286151845,163.0
nl_washout_ASMLUSDT_1783011600000,ASMLUSDT,1783011600000,21.31,0.8196816512175363,1779.81,1829.39,TIME,25.08916532785865,163.0
nl_washout_ASMLUSDT_1783429200000,ASMLUSDT,1783429200000,26.14,0.8502308459158191,1760.9,1779.92,TIME,8.079480195906763,163.0
nl_washout_ASTSUSDT_1781798400000,ASTSUSDT,1781798400000,17.09,0.8158644171479456,80.16,65.73,TIME,-182.2229680461556,163.0
nl_washout_ASTSUSDT_1782439200000,ASTSUSDT,1782439200000,24.5,0.7903459541669998,65.04,85.3,TIME,307.96909844036094,163.0
nl_washout_ASTSUSDT_1784145600000,ASTSUSDT,1784145600000,44.25,0.8802869330576467,58.85,62.43,TIME,57.9760898759416,163.0
nl_washout_AXTIUSDT_1782475200000,AXTIUSDT,1782475200000,18.1,0.7903459541669998,68.32,60.36,TIME,-118.8895368920776,163.0
nl_washout_AXTIUSDT_1782925200000,AXTIUSDT,1782925200000,23.31,0.7977444847534123,65.02,59.67,TIME,-84.75354009569425,163.0
nl_washout_AXTIUSDT_1783695600000,AXTIUSDT,1783695600000,32.23,0.8653017635919806,57.26,47.23,TIME,-177.38696507902296,163.0
nl_washout_AXTIUSDT_1783954800000,AXTIUSDT,1783954800000,35.23,0.8448391887580401,50.51,49.3,TIME,-26.58387588119093,163.0
nl_washout_AXTIUSDT_1784898000000,AXTIUSDT,1784898000000,46.14,0.8854043041021347,49.45,56.18,TIME,133.03786550832464,163.0
nl_washout_AXTIUSDT_1785585600000,AXTIUSDT,1785585600000,54.1,0.8809864193468202,59.95,89.81,TIME,494.04780570358287,163.0
nl_washout_BBXUSDT_1783429200000,BBXUSDT,1783429200000,35.97,0.8502308459158191,11.34,11.18,TIME,-16.76408441476096,163.0
nl_washout_BBXUSDT_1785243600000,BBXUSDT,1785243600000,56.97,0.8891785366647524,8.01,8.78,TIME,93.17825641056277,163.0
